Time,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
Entity\Sex,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men,Men
Total,835,830,841,827,841,854,858,880,884,925,937,927,652,626,592,626,642,524,521,462,281
Agency for the Cooperation of Energy Regulators (ACER),19,20,20,20,20,21,22,24,21,20,20,20,22,,,,,,,,
Body of European Regulators for Electronic Communications (BEREC),19,18,19,21,22,24,21,20,22,22,23,24,,,,,,,,,
Community Plant Variety Office (CPVO),17,16,15,16,17,16,17,16,17,15,16,16,15,15,16,16,19,17,16,17,23
Euratom Supply Agency (ESA),,,,,,,,,,,,,,,,,,,,,
European Agency for Reconstruction (EAR),,,,,,,,,,,,,,,,20,21,20,22,22,13
European Agency for Safety and Health at Work (EU-OSHA),55,50,50,48,51,55,55,55,54,61,57,66,65,58,57,56,64,57,57,54,36
European Agency for the Management of Operational Cooperation at the External Borders (FRONTEX),28,29,28,27,28,28,30,30,32,30,29,29,29,29,27,30,31,,,,
"European Agency for the Operational Management of large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",27,24,24,24,25,28,27,25,31,31,31,,,,,,,,,,
European Asylum Support Office (EASO),,,18,14,14,15,15,18,22,21,22,21,25,,,,,,,,
European Aviation Safety Agency (EASA),25,26,28,28,28,28,27,28,27,29,27,26,26,27,29,30,28,25,24,24,
European Banking Authority (EBA),23,22,23,20,22,23,23,24,24,27,27,27,,,,,,,,,
European Centre for Disease Prevention and Control (ECDC),13,12,17,13,14,14,14,18,12,13,14,17,18,19,3,5,4,20,19,,
European Centre for the Development of Vocational Training (Cedefop),39,46,45,47,46,49,50,49,55,54,54,62,59,60,59,56,58,60,61,58,8
European Chemicals Agency (ECHA),11,14,10,10,11,14,13,13,15,18,19,20,22,22,23,23,23,,,,
European Defence Agency (EDA),21,21,21,21,22,20,22,23,23,23,24,25,,,,,,,,,
European Environment Agency (EEA),18,18,19,19,20,21,21,19,22,27,26,24,25,23,29,33,34,34,32,33,24
European Fisheries Control Agency (EFCA),22,25,23,22,24,24,27,29,28,27,28,27,27,28,28,28,30,,,,
European Food Safety Authority (EFSA),18,11,12,11,11,12,12,12,12,11,9,8,9,9,9,10,10,8,10,10,10
European Public Prosecutor's Office (EPPO),14,,,,,,,,,,,,,,,,,,,,
European Union Agency for Asylum (EUAA),16,16,,,,,,,,,,,,,,,,,,,
European Foundation for the Improvement of Living and Working Conditions (EUROFOUND),43,51,50,51,53,47,46,48,50,51,56,55,51,60,59,56,57,50,49,23,32
European GNSS Agency (GSA),,,,26,24,27,27,24,24,24,24,24,25,22,22,24,23,,,,
European Institute for Gender Equality (EIGE),4,3,5,5,6,2,2,1,1,1,2,5,4,3,1,,,,,,
European Institute of Innovation and Technology (EIT),8,6,6,4,4,7,7,9,10,14,14,16,,,,,,,,,
European Insurance and Occupational Pensions Authority (EIOPA),19,17,17,17,21,20,20,22,20,22,23,20,,,,,,,,,
European Joint Undertaking for ITER and the Development of Fusion Energy (Fusion for Energy),45,46,45,51,53,51,52,52,53,51,53,52,,,,,,,,,
European Maritime Safety Agency (EMSA),24,26,26,26,23,24,27,27,26,30,29,29,35,35,30,34,35,35,33,31,22
European Medicines Agency (EMA),17,19,21,23,26,19,22,23,24,25,26,21,22,21,19,20,22,24,22,25,28
European Monitoring Centre for Drugs and Drug Addiction (EMCDDA),24,23,21,18,19,22,23,20,16,20,19,23,23,20,22,21,21,19,24,27,15
European Network and Information Security Agency (ENISA),23,23,25,26,24,23,25,25,22,25,27,31,30,30,30,31,31,31,30,31,
European Police College (CEPOL),17,18,19,18,19,19,19,22,20,25,23,23,,,,,,,,,
European Police Office (Europol),20,20,21,22,19,22,22,22,24,27,26,27,,,,,,,,,
European Railway Agency (ERA),21,18,22,21,22,21,24,27,26,34,35,35,35,36,36,39,39,36,38,,
European Securities and Markets Authority (ESMA),20,21,18,18,18,18,19,21,21,23,24,23,,,,,,,,,
European Training Foundation (ETF),15,15,13,13,14,15,13,13,16,12,18,18,18,21,19,16,15,19,20,24,10
European Union Agency for Fundamental Rights (FRA),14,15,13,13,15,17,18,18,17,17,17,17,15,18,18,19,18,19,17,17,14
European Union Institute for Security Studies (EUISS),,,,,,,,,,,,,,,,,,,,,
European Union Intellectual Property Office (EUIPO),17,17,18,23,25,24,20,20,,,,,,,,,,,,,
European Union Satellite Centre (EU SatCen),21,19,19,20,20,22,22,22,22,22,21,22,,,,,,,,,
Office for Harmonisation in the Internal Market (OHIM),,,,,,,,,18,17,19,20,20,22,22,23,23,17,20,35,21
Single Resolution Board (SRB),4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
The European Union's Judicial Cooperation Unit (Eurojust),17,18,18,17,20,20,18,18,19,17,16,17,,,,,,,,,
Translation Centre for the Bodies of the European Union (CdT),36,36,38,29,37,38,32,39,34,39,39,37,32,48,34,36,36,33,27,31,25
European Labour Authority (ELA),18,22,22,21,,,,,,,,,,,,,,,,,
European Union Agency for the Space Programme (EUSPA),23,25,28,,,,,,,,,,,,,,,,,,
