Agency,2023_x,2022_x,2021_x,2020_x,2019_x,2018_x,2023_y,2022_y,2021_y,2020_y,2019_y,2018_y,2023,2022,2021,2020,2019,2018
Agency for the Cooperation of Energy Regulators (ACER),8.0,7.0,7.0,6.0,8.0,7.0,,,,,,,,,,,,
Body of European Regulators for Electronic Communications (BEREC),7.0,9.0,8.0,6.0,5.0,4.0,,,,,,,,,,,,
Community Plant Variety Office (CPVO),10.0,12.0,13.0,12.0,11.0,13.0,,,,,,,,,,,,
Euratom Supply Agency (ESA),,,,,,,,,,,,,,,,,,
European Agency for Reconstruction (EAR),,,,,,,,,,,,,,,,,,
European Agency for Safety and Health at Work (EU-OSHA),30.0,32.0,34.0,36.0,36.0,32.0,,,,,,,,,,,,
European Agency for the Management of Operational Cooperation at the External Borders (FRONTEX),4.0,3.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,
"European Agency for the Operational Management of large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",6.0,5.0,5.0,5.0,5.0,2.0,,,,,,,,,,,,
European Asylum Support Office (EASO),,,11.0,13.0,15.0,14.0,,,,,,,,,,,,
European Aviation Safety Agency (EASA),8.0,6.0,5.0,5.0,3.0,4.0,,,,,,,,,,,,
European Banking Authority (EBA),5.0,6.0,5.0,8.0,6.0,6.0,,,,,,,,,,,,
European Centre for Disease Prevention and Control (ECDC),17.0,20.0,15.0,19.0,18.0,18.0,,,,,,,,,,,,
European Centre for the Development of Vocational Training (Cedefop),48.0,50.0,50.0,45.0,41.0,39.0,,,,,,,,,,,,
European Chemicals Agency (ECHA),21.0,18.0,22.0,22.0,22.0,19.0,,,,,,,,,,,,
European Defence Agency (EDA),6.0,6.0,6.0,6.0,6.0,8.0,,,,,,,,,,,,
European Environment Agency (EEA),17.0,17.0,15.0,17.0,16.0,15.0,,,,,,,,,,,,
European Fisheries Control Agency (EFCA),10.0,8.0,10.0,11.0,10.0,10.0,,,,,,,,,,,,
European Food Safety Authority (EFSA),20.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,
European Public Prosecutor's Office (EPPO),9.0,,,,,,,,,,,,,,,,,
European Union Agency for Asylum (EUAA),12.0,12.0,,,,,,,,,,,,,,,,
European Foundation for the Improvement of Living and Working Conditions (EUROFOUND),41.0,33.0,34.0,33.0,35.0,40.0,,,,,,,,,,,,
European GNSS Agency (GSA),,,,5.0,6.0,6.0,,,,,,,,,,,,
European Institute for Gender Equality (EIGE),15.0,16.0,11.0,13.0,12.0,16.0,,,,,,,,,,,,
European Institute of Innovation and Technology (EIT),6.0,6.0,6.0,8.0,8.0,4.0,,,,,,,,,,,,
European Insurance and Occupational Pensions Authority (EIOPA),9.0,11.0,10.0,10.0,7.0,9.0,,,,,,,,,,,,
European Joint Undertaking for ITER and the Development of Fusion Energy (Fusion for Energy),8.0,9.0,10.0,5.0,6.0,8.0,,,,,,,,,,,,
European Maritime Safety Agency (EMSA),5.0,5.0,5.0,4.0,7.0,8.0,,,,,,,,,,,,
European Medicines Agency (EMA),11.0,13.0,13.0,10.0,9.0,13.0,,,,,,,,,,,,
European Monitoring Centre for Drugs and Drug Addiction (EMCDDA),9.0,10.0,11.0,15.0,15.0,12.0,,,,,,,,,,,,
European Network and Information Security Agency (ENISA),5.0,4.0,4.0,3.0,6.0,7.0,,,,,,,,,,,,
European Police College (CEPOL),12.0,9.0,9.0,10.0,9.0,9.0,,,,,,,,,,,,
European Police Office (Europol),8.0,8.0,7.0,6.0,7.0,8.0,,,,,,,,,,,,
European Railway Agency (ERA),11.0,9.0,8.0,9.0,8.0,9.0,,,,,,,,,,,,
European Securities and Markets Authority (ESMA),7.0,6.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,
European Training Foundation (ETF),15.0,15.0,17.0,18.0,17.0,16.0,,,,,,,,,,,,
European Union Agency for Fundamental Rights (FRA),14.0,15.0,15.0,16.0,12.0,12.0,,,,,,,,,,,,
European Union Institute for Security Studies (EUISS),,,,,,,,,,,,,,,,,,
European Union Intellectual Property Office (EUIPO),13.0,13.0,11.0,8.0,7.0,7.0,,,,,,,,,,,,
European Union Satellite Centre (EU SatCen),6.0,8.0,9.0,9.0,9.0,7.0,,,,,,,,,,,,
Office for Harmonisation in the Internal Market (OHIM),,,,,,,,,,,,,,,,,,
Single Resolution Board (SRB),1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
The European Union's Judicial Cooperation Unit (Eurojust),10.0,9.0,9.0,10.0,8.0,8.0,,,,,,,,,,,,
Translation Centre for the Bodies of the European Union (CdT),24.0,24.0,19.0,29.0,25.0,26.0,,,,,,,,,,,,
European Labour Authority (ELA),15.0,12.0,12.0,12.0,,,,,,,,,,,,,,
European Union Agency for the Space Programme (EUSPA),7.0,6.0,4.0,,,,,,,,,,,,,,,
Civil Service Tribunal,,,,,,,,,,,,,,,,,,
European Court of Human Rights,,,,,,,17.0,15.0,16.0,16.0,15.0,17.0,,,,,,
General Court,,,,,,,18.0,16.0,16.0,15.0,11.0,10.0,,,,,,
Court of Justice of the European Union,,,,,,,24.0,22.0,22.0,20.0,16.0,15.0,,,,,,
European Court of Justice,,,,,,,6.0,6.0,6.0,5.0,5.0,5.0,,,,,,
European Central Bank,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
European Investment Bank,,,,,,,,,,,,,7.0,8.0,6.0,3.0,3.0,6.0
European Investment Fund,,,,,,,,,,,,,3.0,2.0,2.0,3.0,2.0,1.0
